idade;gênero;cod_estado;horas_sono;atividade_extracurricular;tempo_estudo;nota
24;Feminino;15;6.04;Sim;4.59;23.92
18;Masculino;15;5.25;Não;4.51;29.49
25;Masculino;15;6.62;Não;3.91;24.11
23;Masculino;15;7.46;Não;6.47;36.82
28;Masculino;15;7.67;Sim;5.01;26.51
29;Masculino;15;8.96;Sim;5.27;33.17
25;Masculino;15;5.65;Não;6.67;40.44
24;Feminino;15;7.67;Sim;5.33;31.22
18;Feminino;15;8.1;Não;2.21;17.71
22;Feminino;15;8.09;Sim;8.69;67.33
21;Masculino;15;5.32;Sim;4.71;29.92
27;Feminino;15;7.49;Não;3.93;27.29
20;Feminino;15;4.88;Não;3.97;23.77
28;Masculino;15;6.42;Sim;4.41;27.37
19;Feminino;15;5.32;Sim;3.16;20.96
20;Masculino;15;8.03;Não;2.86;19.29
23;Feminino;15;8.37;Sim;4.36;25.98
25;Masculino;15;6.57;Não;1.98;16.63
19;Masculino;15;4.77;Sim;1.63;12.78
28;Feminino;15;7.11;Sim;5.13;28.81
18;Masculino;15;7.43;Não;3.23;19.34
20;Feminino;15;6.99;Não;3.91;26.09
21;Masculino;15;8.51;Não;4.59;24.9
24;Masculino;15;7.13;Sim;7.99;76.23
24;Feminino;15;7.2;Sim;4.58;30.14
21;Feminino;15;5.76;Não;3.79;24.65
28;Masculino;15;4.78;Não;1.54;11.07
27;Feminino;15;6.39;Não;2.61;16.89
28;Feminino;15;5.79;Sim;3.11;24.17
19;Feminino;15;5.9;Não;3.88;22.96
18;Feminino;15;6.75;Não;3.35;21.17
20;Masculino;15;5.84;Sim;2.18;15.42
19;Masculino;15;7.84;Sim;4.63;28.02
29;Feminino;15;8.62;Sim;5.01;32.01
21;Masculino;15;6.38;Não;2.56;17.91
21;Feminino;15;8.74;Sim;6.77;42.92
23;Feminino;15;8.1;Sim;0.47;4.91
18;Masculino;15;6.94;Não;1.43;11.58
28;Feminino;15;7.44;Não;4.03;28.34
20;Masculino;15;8.15;Não;5.04;27.02
21;Feminino;15;8.12;Sim;4.78;27.13
20;Feminino;15;6.92;Não;4.03;21.82
