idade;gênero;cod_estado;horas_sono;atividade_extracurricular;tempo_estudo;nota
28;Feminino;21;8.15;Sim;5.48;32.79
27;Masculino;21;7.95;Não;6.3;36.73
26;Feminino;21;5.69;Sim;3.97;21.84
22;Feminino;21;6.16;Não;1.21;12.07
23;Feminino;21;5.77;Sim;3.62;22.84
29;Feminino;21;6.65;Não;5.18;33.47
19;Masculino;21;5.92;Sim;5.54;34.18
24;Masculino;21;6.89;Sim;5.78;37.59
23;Masculino;21;7.35;Não;5.38;33.47
25;Masculino;21;7.1;Não;4.7;29.39
25;Masculino;21;6.65;Sim;2.97;19.11
18;Feminino;21;7.36;Sim;4.82;31.31
19;Masculino;21;7.98;Não;5.52;32.8
19;Masculino;21;6.66;Sim;3.72;24.35
27;Masculino;21;7.43;Sim;2.58;15.7
19;Feminino;21;7.05;Não;2.95;19.79
19;Feminino;21;5.78;Sim;2.82;19.78
25;Masculino;21;6.7;Sim;2.61;18.64
22;Masculino;21;5.97;Sim;1.42;10.58
23;Masculino;21;5.91;Sim;3.97;22.78
23;Masculino;21;6.6;Sim;2.36;16.39
22;Feminino;21;6.49;Não;2.7;20.16
24;Masculino;21;7.37;Não;3.54;23.63
21;Feminino;21;7.93;Sim;3.97;24.31
21;Feminino;21;5.33;Sim;3.44;24.64
25;Masculino;21;6.72;Sim;4.57;27.78
29;Masculino;21;5.07;Não;3.37;22.3
18;Feminino;21;6.43;Não;4.4;29.48
25;Feminino;21;6.92;Sim;3.63;24.89
18;Masculino;21;6.0;Sim;4.23;26.8
20;Masculino;21;5.51;Não;3.57;19.43
19;Feminino;21;6.81;Não;4.84;30.2
19;Feminino;21;7.41;Sim;5.15;33.22
23;Feminino;21;7.46;Não;2.66;20.16
28;Feminino;21;6.93;Não;2.15;16.59
21;Masculino;21;7.81;Sim;5.86;34.12
25;Masculino;21;8.51;Não;3.88;22.63
25;Masculino;21;5.97;Não;1.1;12.68
22;Masculino;21;7.76;Não;3.16;18.2
24;Feminino;21;8.7;Não;3.79;25.72
28;Masculino;21;5.49;Não;5.01;30.94
28;Feminino;21;8.58;Não;3.62;20.97
21;Masculino;21;6.35;Sim;4.51;31.25
