idade;gênero;cod_estado;horas_sono;atividade_extracurricular;tempo_estudo;nota
20;Masculino;4;6.17;Sim;6.69;35.92
25;Masculino;4;5.82;Não;3.27;17.84
26;Feminino;4;7.22;Não;0.33;7.86
26;Feminino;4;7.27;Sim;5.97;35.17
25;Feminino;4;7.48;Sim;4.09;26.26
23;Feminino;4;6.42;Não;3.67;21.18
29;Masculino;4;6.56;Sim;5.45;32.74
18;Masculino;4;6.85;Sim;6.3;38.1
19;Feminino;4;5.63;Não;5.78;32.89
19;Feminino;4;6.02;Não;1.93;15.45
29;Feminino;4;6.93;Não;3.93;23.83
21;Feminino;4;6.78;Não;5.94;36.0
22;Masculino;4;8.14;Sim;0.97;9.76
29;Feminino;4;7.35;Sim;3.61;21.56
24;Masculino;4;5.71;Não;3.41;21.83
24;Feminino;4;4.78;Não;5.38;33.71
21;Feminino;4;7.66;Não;4.36;24.62
28;Feminino;4;5.36;Não;2.62;19.71
25;Feminino;4;6.21;Sim;5.79;34.94
29;Masculino;4;7.91;Sim;5.72;34.22
25;Feminino;4;6.32;Sim;1.99;14.17
19;Feminino;4;7.43;Sim;4.17;26.57
18;Feminino;4;7.34;Sim;3.65;24.11
28;Masculino;4;5.59;Sim;5.09;29.48
22;Feminino;4;7.26;Sim;1.79;14.04
24;Masculino;4;7.76;Sim;5.44;35.47
29;Masculino;4;5.35;Sim;3.94;24.64
29;Feminino;4;6.09;Sim;5.39;31.98
19;Masculino;4;8.28;Sim;1.19;8.79
21;Masculino;4;7.98;Sim;3.49;23.82
29;Masculino;4;8.29;Não;3.26;22.99
24;Masculino;4;6.95;Sim;2.39;16.08
28;Feminino;4;6.49;Sim;3.58;23.91
24;Feminino;4;8.09;Não;4.28;28.25
25;Feminino;4;7.81;Sim;4.45;25.67
27;Feminino;4;7.39;Não;4.5;30.14
21;Feminino;4;5.04;Sim;3.81;22.8
22;Masculino;4;7.94;Não;6.24;35.33
25;Feminino;4;5.11;Sim;4.95;29.22
