idade;gênero;cod_estado;horas_sono;atividade_extracurricular;tempo_estudo;nota
21;Masculino;6;7.04;Não;5.31;34.25
25;Masculino;6;6.96;Não;3.02;23.21
19;Feminino;6;8.56;Sim;3.59;25.67
18;Feminino;6;7.84;Sim;5.12;31.3
19;Masculino;6;6.62;Não;5.39;29.65
29;Masculino;6;6.87;Não;6.45;37.74
25;Masculino;6;7.5;Sim;7.09;72.95
25;Feminino;6;5.27;Sim;4.43;25.98
23;Masculino;6;7.1;Sim;2.6;19.06
26;Feminino;6;7.52;Não;5.2;26.62
23;Masculino;6;9.29;Não;4.28;30.99
23;Masculino;6;7.16;Não;3.81;22.68
25;Feminino;6;9.08;Sim;3.83;22.24
19;Masculino;6;6.84;Sim;5.53;31.51
27;Masculino;6;6.49;Não;3.18;20.7
20;Feminino;6;7.33;Sim;4.11;28.06
20;Masculino;6;4.78;Não;6.3;34.37
24;Feminino;6;6.64;Sim;2.79;16.94
21;Feminino;6;6.71;Sim;5.49;34.95
19;Masculino;6;7.23;Sim;4.86;28.45
22;Feminino;6;6.71;Sim;4.21;25.72
27;Feminino;6;6.64;Sim;4.93;35.03
27;Masculino;6;6.13;Sim;3.18;21.62
18;Masculino;6;6.87;Sim;2.97;14.97
23;Feminino;6;6.91;Não;4.61;23.75
22;Masculino;6;8.47;Não;3.59;21.88
29;Masculino;6;5.58;Não;6.24;38.94
26;Masculino;6;6.42;Não;5.1;31.21
23;Masculino;6;7.8;Sim;2.29;17.02
25;Feminino;6;6.54;Não;6.37;40.88
26;Masculino;6;8.28;Sim;2.85;21.33
27;Masculino;6;6.04;Sim;3.06;18.36
23;Feminino;6;6.56;Sim;5.27;30.53
22;Masculino;6;9.46;Não;3.54;20.67
18;Masculino;6;6.67;Não;3.69;26.09
28;Feminino;6;5.05;Sim;1.59;10.77
26;Masculino;6;6.63;Não;4.05;31.09
23;Feminino;6;5.61;Sim;2.04;13.17
22;Masculino;6;7.99;Sim;3.08;18.71
21;Masculino;6;6.31;Sim;5.1;32.06
26;Masculino;6;7.9;Sim;6.26;37.24
20;Masculino;6;7.27;Sim;2.36;18.84
24;Masculino;6;6.78;Não;1.94;17.34
18;Feminino;6;7.44;Não;1.33;10.6
19;Masculino;6;7.1;Sim;4.01;20.98
22;Masculino;6;8.47;Não;3.59;21.88
29;Masculino;6;5.58;Não;6.24;38.94
26;Masculino;6;6.42;Não;5.1;31.21
23;Masculino;6;7.8;Sim;2.29;17.02
25;Feminino;6;6.54;Não;6.37;40.88
26;Masculino;6;8.28;Sim;2.85;21.33
27;Masculino;6;6.04;Sim;3.06;18.36
23;Feminino;6;6.56;Sim;5.27;30.53
22;Masculino;6;9.46;Não;3.54;20.67
18;Masculino;6;6.67;Não;3.69;26.09
28;Feminino;6;5.05;Sim;1.59;10.77
26;Masculino;6;6.63;Não;4.05;31.09
