idade;gênero;cod_estado;horas_sono;atividade_extracurricular;tempo_estudo;nota
19;Masculino;17;7.02;Sim;4.01;27.05
22;Masculino;17;9.07;Não;5.53;32.58
25;Feminino;17;8.28;Sim;2.43;16.22
23;Feminino;17;8.27;Sim;2.49;13.58
25;Feminino;17;5.95;Sim;1.9;10.21
21;Feminino;17;8.56;Não;2.06;17.82
18;Masculino;17;8.5;Não;2.83;20.42
28;Feminino;17;8.08;Sim;2.42;18.4
29;Feminino;17;6.69;Não;7.11;70.52
18;Masculino;17;6.5;Sim;1.84;13.18
19;Feminino;17;7.68;Não;3.16;22.3
25;Feminino;17;7.1;Não;3.79;25.66
23;Feminino;17;7.3;Não;2.27;12.59
19;Feminino;17;6.86;Sim;5.35;29.58
27;Masculino;17;7.46;Não;4.03;24.51
25;Masculino;17;4.2;Sim;2.09;17.61
25;Masculino;17;6.48;Sim;2.8;20.7
20;Masculino;17;8.26;Não;6.39;39.88
21;Masculino;17;6.11;Sim;4.59;27.81
25;Masculino;17;7.78;Não;2.02;14.68
21;Masculino;17;7.61;Não;5.35;30.74
20;Feminino;17;5.5;Sim;3.83;23.68
23;Masculino;17;5.58;Sim;4.98;28.52
21;Feminino;17;6.29;Não;3.83;25.36
20;Masculino;17;7.64;Sim;2.6;20.12
24;Feminino;17;7.04;Sim;6.9;66.46
24;Feminino;17;7.22;Não;3.15;19.5
22;Masculino;17;6.65;Não;6.27;35.53
22;Feminino;17;6.08;Não;2.5;15.92
26;Feminino;17;8.07;Não;3.86;23.68
25;Feminino;17;8.22;Não;5.74;32.56
26;Masculino;17;8.62;Não;2.57;15.32
18;Feminino;17;5.74;Não;2.46;14.79
20;Masculino;17;7.27;Não;2.11;16.92
18;Feminino;17;7.81;Não;3.92;22.17
19;Feminino;17;8.44;Não;5.91;36.24
