idade;gênero;cod_estado;horas_sono;atividade_extracurricular;tempo_estudo;nota
23;Masculino;7;5.32;Não;4.33;29.5
23;Feminino;7;5.83;Sim;3.43;21.86
28;Masculino;7;5.62;Não;6.75;42.21
26;Feminino;7;8.09;Não;2.09;17.48
27;Masculino;7;5.99;Sim;4.72;31.28
28;Masculino;7;7.29;Sim;4.76;31.37
28;Masculino;7;5.82;Sim;8.16;68.12
29;Masculino;7;7.11;Não;3.99;26.7
25;Feminino;7;7.02;Sim;5.35;34.13
27;Masculino;7;6.42;Não;6.13;34.43
27;Masculino;7;7.67;Sim;2.49;14.74
25;Masculino;7;5.7;Sim;2.06;15.51
25;Masculino;7;5.88;Não;3.0;18.88
28;Masculino;7;7.28;Sim;3.07;20.46
20;Feminino;7;7.48;Não;4.37;26.28
25;Feminino;7;7.08;Sim;6.28;35.63
25;Feminino;7;6.79;Sim;6.34;37.52
22;Feminino;7;7.13;Sim;5.27;29.41
27;Feminino;7;7.44;Não;0.35;4.43
29;Masculino;7;6.47;Não;0.18;8.04
21;Feminino;7;5.47;Sim;2.11;19.17
20;Masculino;7;6.78;Não;3.51;23.35
28;Masculino;7;5.99;Não;1.52;14.73
29;Masculino;7;5.88;Não;3.04;18.73
24;Feminino;7;6.19;Não;4.26;25.03
23;Masculino;7;7.92;Sim;5.95;38.08
21;Feminino;7;7.48;Não;4.71;28.5
23;Feminino;7;6.0;Sim;2.68;17.88
27;Feminino;7;6.73;Sim;2.44;15.69
29;Masculino;7;8.76;Não;0.0;4.99
27;Feminino;7;6.27;Não;4.11;28.59
26;Feminino;7;6.79;Não;4.96;29.04
