idade;gênero;cod_estado;horas_sono;atividade_extracurricular;tempo_estudo;nota
24;Masculino;22;8.48;Não;0.93;9.37
25;Feminino;22;6.44;Sim;5.18;31.69
28;Feminino;22;5.23;Sim;5.97;37.08
26;Masculino;22;5.9;Não;3.35;21.11
20;Masculino;22;6.91;Sim;0.56;6.13
25;Feminino;22;8.06;Não;3.86;27.77
24;Feminino;22;8.81;Sim;4.87;30.93
23;Masculino;22;5.22;Não;4.35;21.91
25;Feminino;22;6.21;Sim;2.27;16.62
29;Masculino;22;7.24;Sim;3.78;22.19
23;Feminino;22;5.43;Sim;3.99;23.96
22;Masculino;22;5.58;Sim;3.95;23.88
25;Masculino;22;6.79;Sim;3.81;25.68
20;Feminino;22;6.11;Não;4.06;22.79
22;Feminino;22;5.7;Sim;0.98;11.37
20;Feminino;22;8.62;Sim;5.04;31.91
27;Masculino;22;7.78;Sim;7.69;60.07
22;Masculino;22;6.08;Não;5.44;30.39
23;Feminino;22;6.13;Sim;0.1;3.92
19;Masculino;22;7.9;Sim;4.26;23.69
22;Masculino;22;9.42;Não;0.0;5.87
20;Masculino;22;6.87;Não;4.5;28.15
27;Feminino;22;6.13;Não;2.2;16.84
21;Feminino;22;8.96;Sim;5.26;30.41
18;Masculino;22;6.85;Sim;3.96;26.47
20;Masculino;22;6.94;Sim;6.08;36.02
24;Feminino;22;8.06;Sim;3.53;23.62
29;Feminino;22;4.0;Não;5.06;31.38
22;Feminino;22;7.72;Não;2.08;17.12
27;Feminino;22;7.67;Não;2.42;15.44
27;Feminino;22;7.36;Não;4.93;28.37
27;Feminino;22;6.28;Não;5.51;30.77
20;Masculino;22;7.72;Não;6.27;34.95
29;Masculino;22;7.54;Sim;3.63;23.07
22;Masculino;22;5.93;Não;3.05;19.39
19;Feminino;22;7.94;Sim;3.86;26.82
18;Feminino;22;8.34;Não;3.05;20.99
20;Feminino;22;7.94;Não;3.87;24.14
25;Feminino;22;6.1;Sim;3.52;22.87
23;Masculino;22;7.85;Sim;4.69;29.52
