idade;gênero;cod_estado;horas_sono;atividade_extracurricular;tempo_estudo;nota
25;Masculino;5;7.18;Não;5.34;32.39
22;Feminino;5;6.4;Sim;3.44;22.0
23;Masculino;5;6.74;Sim;3.29;22.27
26;Feminino;5;7.24;Sim;2.53;12.26
21;Feminino;5;7.48;Não;4.03;25.44
26;Masculino;5;7.03;Sim;4.18;27.53
25;Feminino;5;7.42;Não;3.96;26.09
26;Masculino;5;6.87;Não;3.47;21.17
25;Feminino;5;8.39;Não;1.96;12.17
28;Feminino;5;8.16;Sim;1.15;10.04
27;Masculino;5;7.1;Sim;2.76;18.82
24;Feminino;5;6.93;Sim;2.18;16.11
27;Masculino;5;6.88;Não;5.44;33.21
27;Masculino;5;5.72;Sim;6.73;39.96
28;Feminino;5;5.03;Não;3.16;19.87
21;Masculino;5;6.12;Não;3.89;28.0
19;Feminino;5;6.05;Não;3.9;25.62
27;Feminino;5;6.41;Não;3.82;27.05
18;Masculino;5;7.83;Sim;1.75;13.07
28;Masculino;5;7.4;Não;3.8;21.32
20;Masculino;5;5.49;Não;4.59;28.89
23;Masculino;5;7.17;Sim;0.38;10.37
23;Feminino;5;7.07;Sim;4.39;27.59
23;Masculino;5;6.75;Não;4.17;26.91
28;Feminino;5;5.76;Sim;1.59;14.24
26;Masculino;5;5.97;Sim;4.36;24.44
29;Masculino;5;6.74;Sim;4.89;29.78
18;Masculino;5;7.22;Não;5.04;32.02
