idade;gênero;cod_estado;horas_sono;atividade_extracurricular;tempo_estudo;nota
23;Feminino;24;7.18;Sim;7.16;58.41
29;Feminino;24;6.2;Sim;5.96;35.09
27;Masculino;24;6.96;Sim;4.01;24.51
25;Feminino;24;8.49;Não;2.53;19.94
22;Masculino;24;7.07;Sim;4.69;25.73
26;Masculino;24;7.4;Sim;4.46;30.5
24;Feminino;24;8.09;Não;3.87;24.7
22;Masculino;24;7.48;Sim;3.9;24.53
27;Masculino;24;7.21;Não;4.48;29.41
26;Masculino;24;6.05;Sim;5.94;36.78
23;Feminino;24;9.08;Não;2.5;20.61
23;Feminino;24;5.47;Não;1.96;20.22
21;Feminino;24;5.89;Sim;3.05;22.2
23;Feminino;24;8.64;Sim;2.96;19.98
21;Feminino;24;6.92;Sim;3.79;22.59
23;Masculino;24;5.56;Sim;1.14;11.3
23;Masculino;24;8.38;Não;2.93;18.09
18;Masculino;24;5.92;Sim;3.23;24.71
23;Masculino;24;6.97;Sim;4.01;25.12
26;Feminino;24;7.57;Não;2.98;20.53
23;Masculino;24;6.6;Sim;3.41;21.17
24;Feminino;24;6.62;Não;1.2;11.91
19;Masculino;24;6.49;Sim;1.67;15.43
28;Feminino;24;7.58;Sim;3.01;20.23
18;Feminino;24;6.87;Não;3.41;20.62
19;Masculino;24;6.87;Não;4.26;26.21
20;Masculino;24;5.55;Não;2.9;19.46
26;Feminino;24;7.0;Não;2.84;20.06
23;Feminino;24;6.79;Sim;4.89;30.26
23;Masculino;24;7.64;Sim;4.25;26.99
28;Feminino;24;6.62;Não;6.61;38.25
18;Masculino;24;7.8;Não;3.96;25.04
27;Masculino;24;5.76;Não;3.91;25.27
19;Feminino;24;7.95;Sim;3.42;24.55
19;Feminino;24;7.92;Sim;4.42;29.9
18;Feminino;24;5.31;Não;3.58;24.6
22;Masculino;24;7.48;Não;2.72;20.67
