idade;gênero;cod_estado;horas_sono;atividade_extracurricular;tempo_estudo;nota
26;Masculino;14;7.36;Sim;3.09;22.92
24;Masculino;14;7.27;Sim;3.97;21.44
29;Masculino;14;7.29;Não;6.34;37.27
29;Feminino;14;6.18;Não;5.19;27.79
22;Masculino;14;5.74;Não;2.92;20.34
22;Feminino;14;7.33;Sim;5.61;33.35
26;Masculino;14;7.84;Sim;6.46;39.45
27;Feminino;14;5.44;Sim;4.88;30.79
22;Feminino;14;6.62;Sim;2.88;19.28
28;Feminino;14;6.2;Não;3.33;22.95
26;Feminino;14;6.32;Não;3.01;17.58
20;Feminino;14;6.47;Sim;2.07;16.6
21;Feminino;14;7.98;Sim;2.26;14.82
29;Feminino;14;5.92;Sim;3.27;21.11
19;Masculino;14;7.26;Não;1.66;15.01
19;Masculino;14;6.39;Não;5.35;31.95
28;Masculino;14;7.14;Não;4.52;26.13
23;Masculino;14;6.16;Sim;0.0;5.44
20;Masculino;14;7.98;Sim;4.25;28.41
19;Masculino;14;5.51;Sim;4.82;33.04
22;Masculino;14;7.88;Não;1.91;14.21
21;Feminino;14;6.07;Sim;2.0;13.79
25;Feminino;14;7.3;Sim;3.13;20.6
24;Masculino;14;7.77;Sim;2.96;22.92
26;Masculino;14;7.63;Não;5.21;33.32
28;Feminino;14;7.2;Sim;3.91;23.17
29;Feminino;14;6.12;Sim;5.29;31.79
27;Feminino;14;8.83;Não;4.52;27.86
27;Masculino;14;5.87;Não;4.63;26.94
28;Feminino;14;8.07;Sim;4.4;26.78
22;Feminino;14;7.26;Sim;2.53;19.05
19;Masculino;14;4.61;Sim;3.88;25.52
18;Feminino;14;7.16;Sim;3.43;19.67
26;Masculino;14;6.27;Não;3.89;21.94
25;Feminino;14;8.66;Sim;4.41;27.24
25;Feminino;14;5.98;Não;6.83;66.75
22;Feminino;14;7.9;Não;3.17;20.92
22;Feminino;14;6.27;Sim;7.04;61.11
25;Feminino;14;7.83;Não;3.14;20.43
22;Masculino;14;5.78;Sim;2.92;20.52
24;Feminino;14;4.0;Não;1.67;14.69
24;Masculino;14;8.24;Não;4.66;28.99
19;Masculino;14;5.98;Sim;7.72;65.32
27;Feminino;14;5.44;Sim;4.88;30.79
22;Feminino;14;6.62;Sim;2.88;19.28
28;Feminino;14;6.2;Não;3.33;22.95
26;Feminino;14;6.32;Não;3.01;17.58
20;Feminino;14;6.47;Sim;2.07;16.6
21;Feminino;14;7.98;Sim;2.26;14.82
29;Feminino;14;5.92;Sim;3.27;21.11
19;Masculino;14;7.26;Não;1.66;15.01
19;Masculino;14;6.39;Não;5.35;31.95
28;Masculino;14;7.14;Não;4.52;26.13
23;Masculino;14;6.16;Sim;0.0;5.44
20;Masculino;14;7.98;Sim;4.25;28.41
19;Masculino;14;5.51;Sim;4.82;33.04
22;Masculino;14;7.88;Não;1.91;14.21
21;Feminino;14;6.07;Sim;2.0;13.79
25;Feminino;14;7.3;Sim;3.13;20.6
24;Masculino;14;7.77;Sim;2.96;22.92
26;Masculino;14;7.63;Não;5.21;33.32
26;Masculino;14;7.36;Sim;3.09;22.92
24;Masculino;14;7.27;Sim;3.97;21.44
29;Masculino;14;7.29;Não;6.34;37.27
29;Feminino;14;6.18;Não;5.19;27.79
22;Masculino;14;5.74;Não;2.92;20.34
22;Feminino;14;7.33;Sim;5.61;33.35
26;Masculino;14;7.84;Sim;6.46;39.45
27;Feminino;14;5.44;Sim;4.88;30.79
22;Feminino;14;6.62;Sim;2.88;19.28
28;Feminino;14;6.2;Não;3.33;22.95
26;Feminino;14;6.32;Não;3.01;17.58
20;Feminino;14;6.47;Sim;2.07;16.6
