idade;gênero;cod_estado;horas_sono;atividade_extracurricular;tempo_estudo;nota
22;Feminino;27;6.95;Sim;2.64;17.65
22;Masculino;27;5.32;Sim;4.53;28.69
18;Masculino;27;5.32;Sim;1.97;20.04
21;Masculino;27;5.7;Não;4.1;22.87
21;Masculino;27;6.04;Não;2.72;20.56
25;Masculino;27;7.46;Não;2.58;18.47
28;Masculino;27;6.39;Sim;4.32;26.6
19;Feminino;27;5.7;Não;4.16;26.31
25;Masculino;27;5.98;Não;4.58;28.47
23;Feminino;27;7.29;Não;0.39;6.29
28;Masculino;27;8.01;Sim;3.4;18.7
29;Masculino;27;5.76;Sim;4.24;26.89
28;Feminino;27;8.28;Sim;2.69;18.03
25;Feminino;27;6.52;Não;4.48;24.68
18;Masculino;27;7.18;Sim;7.05;51.63
29;Feminino;27;6.82;Sim;1.27;12.77
24;Masculino;27;7.95;Sim;3.19;19.75
23;Masculino;27;8.49;Sim;3.27;23.4
21;Masculino;27;6.93;Não;2.05;13.95
21;Feminino;27;8.57;Não;6.39;37.66
22;Feminino;27;6.86;Sim;4.29;29.28
28;Masculino;27;7.76;Não;4.3;24.6
28;Feminino;27;7.06;Sim;3.94;20.2
20;Masculino;27;6.67;Sim;4.3;29.06
29;Masculino;27;7.16;Sim;6.27;37.44
27;Feminino;27;6.66;Sim;4.07;23.44
26;Masculino;27;7.13;Não;3.13;21.53
22;Feminino;27;6.69;Não;1.93;12.22
28;Feminino;27;7.94;Sim;6.62;36.28
24;Feminino;27;7.02;Não;3.64;22.6
21;Feminino;27;7.69;Não;2.79;17.14
18;Feminino;27;5.57;Não;5.78;34.03
24;Feminino;27;7.85;Sim;4.38;24.36
20;Masculino;27;7.59;Sim;2.71;19.06
26;Feminino;27;7.46;Sim;4.71;25.89
25;Feminino;27;7.66;Não;4.37;26.41
19;Feminino;27;7.17;Não;5.87;33.19
23;Masculino;27;5.93;Não;3.13;17.75
