idade;gênero;cod_estado;horas_sono;atividade_extracurricular;tempo_estudo;nota
22;Masculino;23;7.92;Não;3.46;21.74
22;Feminino;23;6.67;Sim;3.04;19.87
20;Feminino;23;6.8;Não;5.03;33.32
21;Feminino;23;6.68;Não;4.51;25.29
24;Feminino;23;6.94;Não;4.89;28.63
19;Masculino;23;8.11;Não;1.82;18.54
18;Masculino;23;7.21;Não;6.14;33.62
21;Masculino;23;6.4;Sim;2.85;17.72
22;Masculino;23;5.68;Sim;4.94;27.33
25;Feminino;23;5.96;Sim;1.9;17.5
26;Masculino;23;8.49;Sim;8.2;65.36
22;Feminino;23;7.3;Não;4.11;21.81
29;Feminino;23;8.09;Não;4.62;28.99
22;Masculino;23;7.6;Não;3.25;20.62
29;Feminino;23;7.36;Não;7.14;59.08
27;Feminino;23;6.7;Não;1.86;12.3
22;Feminino;23;6.11;Não;5.31;32.78
19;Feminino;23;8.19;Sim;0.57;8.23
29;Masculino;23;7.69;Sim;5.62;32.71
19;Feminino;23;5.81;Não;3.83;23.32
27;Masculino;23;7.5;Não;3.96;24.78
21;Feminino;23;6.52;Sim;0.0;-1.34
19;Feminino;23;7.36;Sim;3.96;22.13
18;Masculino;23;6.67;Sim;4.24;25.53
23;Feminino;23;6.54;Não;4.43;27.92
26;Feminino;23;7.64;Sim;5.79;31.48
26;Feminino;23;7.73;Não;4.42;29.73
24;Feminino;23;7.48;Sim;4.78;29.34
18;Feminino;23;7.3;Não;5.76;36.83
19;Masculino;23;8.57;Sim;2.45;16.85
24;Feminino;23;9.12;Sim;3.81;24.25
25;Masculino;23;7.54;Sim;5.09;29.99
20;Masculino;23;8.54;Sim;2.83;17.58
21;Feminino;23;7.23;Sim;8.11;57.62
18;Masculino;23;7.28;Sim;2.16;14.66
18;Feminino;23;8.82;Não;2.33;14.65
19;Masculino;23;7.81;Sim;3.47;24.67
21;Feminino;23;6.6;Não;3.32;19.72
