idade;gênero;cod_estado;horas_sono;atividade_extracurricular;tempo_estudo;nota
22;Feminino;25;7.91;Não;5.26;33.96
23;Masculino;25;8.25;Não;6.21;36.3
27;Feminino;25;7.44;Não;3.42;22.21
20;Feminino;25;7.63;Não;2.87;19.36
19;Feminino;25;6.75;Sim;4.67;29.97
20;Masculino;25;8.98;Sim;3.75;25.02
29;Masculino;25;7.14;Sim;4.08;28.4
22;Masculino;25;7.75;Não;4.96;28.97
26;Feminino;25;7.19;Não;2.61;16.58
18;Feminino;25;8.09;Sim;2.71;15.78
21;Feminino;25;7.43;Não;4.06;22.47
20;Masculino;25;6.47;Sim;3.02;18.87
19;Feminino;25;8.2;Sim;3.73;25.32
25;Feminino;25;6.36;Sim;1.27;10.46
20;Feminino;25;7.49;Sim;4.98;27.2
27;Feminino;25;6.18;Sim;5.29;31.2
23;Masculino;25;7.29;Não;1.69;14.4
18;Feminino;25;6.96;Sim;5.62;34.37
22;Masculino;25;6.62;Sim;3.65;22.51
19;Masculino;25;5.52;Sim;6.43;36.49
26;Masculino;25;8.0;Não;4.91;29.9
29;Masculino;25;7.71;Sim;4.6;29.85
20;Masculino;25;5.55;Não;5.35;33.84
18;Feminino;25;6.02;Sim;2.11;14.08
26;Feminino;25;4.81;Sim;4.7;28.2
26;Feminino;25;8.21;Não;4.32;27.7
18;Masculino;25;7.97;Não;1.62;12.69
18;Masculino;25;8.64;Sim;2.76;19.19
25;Masculino;25;6.02;Sim;6.16;34.32
20;Masculino;25;7.4;Sim;3.89;23.67
23;Masculino;25;5.43;Sim;5.52;34.41
29;Masculino;25;7.0;Sim;2.21;16.85
21;Feminino;25;6.56;Sim;6.67;36.46
25;Feminino;25;7.5;Sim;4.16;28.28
22;Feminino;25;7.53;Não;3.53;23.23
