idade;gênero;cod_estado;horas_sono;atividade_extracurricular;tempo_estudo;nota
25;Masculino;26;8.02;Sim;2.38;16.75
23;Masculino;26;7.59;Sim;5.17;25.64
28;Feminino;26;7.44;Não;5.7;29.4
23;Masculino;26;6.25;Sim;5.56;31.7
24;Feminino;26;7.63;Não;2.97;20.72
18;Feminino;26;8.29;Sim;2.5;14.9
29;Feminino;26;5.78;Não;4.26;25.61
18;Masculino;26;8.13;Sim;4.95;29.28
23;Masculino;26;6.41;Sim;3.24;21.2
23;Feminino;26;7.08;Sim;4.12;27.15
25;Masculino;26;6.28;Não;4.31;27.62
18;Feminino;26;7.99;Sim;2.15;15.1
22;Masculino;26;7.13;Não;4.81;27.13
29;Masculino;26;8.29;Sim;4.01;23.28
19;Feminino;26;6.06;Não;3.27;17.39
19;Masculino;26;8.27;Não;0.97;7.23
23;Feminino;26;6.68;Sim;6.78;38.84
26;Masculino;26;6.94;Não;0.88;8.58
18;Masculino;26;6.48;Sim;5.09;30.33
18;Masculino;26;6.05;Sim;3.81;27.32
20;Masculino;26;7.36;Não;3.35;20.44
18;Feminino;26;9.17;Sim;3.87;22.54
19;Masculino;26;8.61;Sim;2.32;18.73
18;Masculino;26;6.73;Sim;2.97;16.81
27;Masculino;26;7.02;Não;4.84;29.03
18;Feminino;26;8.52;Sim;5.23;32.26
23;Masculino;26;7.03;Sim;5.19;29.79
28;Masculino;26;7.64;Não;4.32;26.44
20;Masculino;26;4.78;Sim;3.91;24.17
26;Feminino;26;6.76;Não;4.65;25.01
23;Feminino;26;6.68;Sim;6.78;38.84
26;Masculino;26;6.94;Não;0.88;8.58
18;Masculino;26;6.48;Sim;5.09;30.33
18;Masculino;26;6.05;Sim;3.81;27.32
20;Masculino;26;7.36;Não;3.35;20.44
18;Feminino;26;9.17;Sim;3.87;22.54
19;Masculino;26;8.61;Sim;2.32;18.73
18;Masculino;26;6.73;Sim;2.97;16.81
27;Masculino;26;7.02;Não;4.84;29.03
18;Feminino;26;8.52;Sim;5.23;32.26
23;Masculino;26;7.03;Sim;5.19;29.79
28;Masculino;26;7.64;Não;4.32;26.44
20;Masculino;26;4.78;Sim;3.91;24.17
26;Feminino;26;6.76;Não;4.65;25.01
