idade;gênero;cod_estado;horas_sono;atividade_extracurricular;tempo_estudo;nota
19;Feminino;18;6.53;Sim;4.28;28.09
25;Feminino;18;8.28;Não;3.61;22.57
26;Masculino;18;7.19;Não;2.5;18.19
19;Masculino;18;6.5;Sim;0.95;8.43
26;Feminino;18;7.8;Não;2.33;15.77
20;Masculino;18;7.52;Sim;6.08;31.54
24;Masculino;18;6.91;Sim;5.46;30.52
18;Masculino;18;5.82;Não;4.7;29.41
25;Feminino;18;6.69;Sim;4.78;33.13
19;Feminino;18;7.33;Sim;2.3;17.89
21;Feminino;18;6.71;Não;3.84;24.32
27;Feminino;18;8.23;Não;4.47;26.43
25;Masculino;18;6.39;Sim;2.03;11.63
22;Masculino;18;7.23;Não;5.37;31.27
22;Masculino;18;6.31;Não;3.57;23.74
18;Feminino;18;7.77;Não;5.26;29.15
23;Feminino;18;7.67;Não;2.17;11.16
29;Feminino;18;7.26;Sim;2.51;15.31
29;Feminino;18;6.42;Sim;4.56;27.01
18;Masculino;18;7.17;Sim;2.14;13.34
24;Masculino;18;6.79;Não;5.26;27.82
23;Feminino;18;7.69;Não;2.58;18.17
23;Feminino;18;8.13;Não;3.8;21.83
28;Feminino;18;7.62;Não;3.83;25.33
20;Feminino;18;8.85;Não;4.18;27.44
19;Feminino;18;7.42;Não;3.89;22.32
28;Masculino;18;6.99;Não;3.08;24.34
26;Feminino;18;5.08;Não;4.68;29.35
24;Feminino;18;8.92;Sim;1.8;13.38
29;Feminino;18;6.42;Sim;4.56;27.01
18;Masculino;18;7.17;Sim;2.14;13.34
24;Masculino;18;6.79;Não;5.26;27.82
23;Feminino;18;7.69;Não;2.58;18.17
23;Feminino;18;8.13;Não;3.8;21.83
28;Feminino;18;7.62;Não;3.83;25.33
20;Feminino;18;8.85;Não;4.18;27.44
19;Feminino;18;7.42;Não;3.89;22.32
28;Masculino;18;6.99;Não;3.08;24.34
26;Feminino;18;5.08;Não;4.68;29.35
24;Feminino;18;8.92;Sim;1.8;13.38
