idade;gênero;cod_estado;horas_sono;atividade_extracurricular;tempo_estudo;nota
28;Masculino;8;6.81;Sim;2.88;21.68
22;Masculino;8;7.03;Não;5.01;30.43
27;Feminino;8;6.83;Não;3.68;21.24
24;Masculino;8;6.17;Não;6.57;37.31
19;Feminino;8;8.81;Sim;2.19;13.74
25;Masculino;8;;Não;2.81;15.23
18;Feminino;8;;Não;4.57;27.92
19;Feminino;8;;Não;2.38;16.13
23;Feminino;8;;Não;2.28;20.11
28;Feminino;8;;Não;2.54;18.34
19;Feminino;8;;Não;2.33;12.92
26;Feminino;8;;Não;3.4;22.89
23;Masculino;8;7.63;Não;2.62;15.02
28;Masculino;8;8.15;Sim;5.69;31.21
29;Masculino;8;7.58;Sim;4.76;26.61
23;Feminino;8;7.5;Não;4.0;24.93
21;Masculino;8;7.69;Não;6.13;35.58
23;Masculino;8;8.3;Não;6.62;39.09
19;Masculino;8;5.71;Não;4.28;24.61
28;Feminino;8;6.06;Não;6.46;35.85
18;Masculino;8;7.87;Não;4.4;24.66
23;Feminino;8;7.03;Sim;4.47;24.62
25;Masculino;8;6.53;Não;5.02;29.21
26;Feminino;8;6.15;Não;5.0;33.57
27;Masculino;8;6.36;Não;2.72;21.26
29;Feminino;8;5.62;Não;3.98;24.54
20;Masculino;8;7.17;Não;4.05;22.38
20;Masculino;8;7.66;Sim;2.21;17.29
27;Masculino;8;9.03;Não;4.36;25.98
