idade;gênero;cod_estado;horas_sono;atividade_extracurricular;tempo_estudo;nota
18;Feminino;2;6.43;Sim;3.58;23.51
28;Masculino;2;7.41;Sim;2.81;20.95
26;Feminino;2;6.14;Sim;3.4;18.92
23;Masculino;2;5.2;Não;3.24;24.22
24;Feminino;2;6.76;Não;5.42;34.55
26;Feminino;2;6.71;Não;4.87;29.24
20;Masculino;2;7.48;Sim;3.04;24.67
21;Feminino;2;6.67;Não;3.08;23.12
28;Masculino;2;6.99;Não;2.7;16.51
26;Masculino;2;7.52;Não;4.91;29.13
21;Feminino;2;8.63;Não;5.14;33.92
23;Feminino;2;9.45;Não;2.35;18.79
19;Feminino;2;8.07;Não;4.8;30.78
28;Feminino;2;7.16;Sim;4.63;28.48
23;Masculino;2;5.42;Sim;2.52;17.15
20;Masculino;2;6.95;Sim;3.6;23.15
27;Feminino;2;7.45;Não;7.25;53.25
19;Feminino;2;8.0;Sim;4.36;30.8
21;Masculino;2;4.93;Não;5.21;31.9
20;Feminino;2;6.7;Não;0.98;7.92
26;Feminino;2;7.37;Não;1.52;11.8
27;Feminino;2;6.82;Sim;5.24;32.5
26;Feminino;2;4.07;Não;5.21;29.48
21;Feminino;2;8.29;Sim;6.2;36.3
18;Masculino;2;7.28;Sim;5.54;32.41
28;Masculino;2;7.36;Sim;2.54;16.69
25;Masculino;2;7.5;Sim;1.27;10.68
25;Masculino;2;7.34;Sim;3.31;20.98
26;Masculino;2;6.0;Sim;3.23;21.53
20;Feminino;2;6.48;Não;4.52;27.19
21;Feminino;2;7.83;Sim;3.96;23.37
22;Masculino;2;7.44;Sim;1.18;15.1
27;Feminino;2;5.96;Sim;3.76;23.33
18;Feminino;2;7.97;Sim;1.52;11.34
25;Feminino;2;8.17;Sim;4.63;30.24
25;Masculino;2;9.41;Sim;4.82;27.69
18;Feminino;2;6.88;Sim;4.27;26.73
19;Masculino;2;6.28;Sim;2.67;19.06
29;Masculino;2;4.27;Não;4.88;30.42
18;Feminino;2;7.19;Sim;2.24;18.08
21;Feminino;2;7.05;Não;3.81;22.56
25;Feminino;2;6.67;Não;2.89;20.22
