idade;gênero;cod_estado;horas_sono;atividade_extracurricular;tempo_estudo;nota
29;Masculino;3;8.84;Não;5.38;32.17
28;Masculino;3;5.85;Não;4.74;27.81
26;Feminino;3;7.53;Não;4.82;31.32
28;Masculino;3;5.52;Não;6.12;35.81
23;Feminino;3;7.91;Sim;3.2;21.01
20;Masculino;3;6.74;Não;3.69;25.65
23;Masculino;3;6.32;Não;3.71;22.1
28;Feminino;3;8.58;Sim;5.32;35.04
24;Feminino;3;6.56;Sim;4.53;25.23
21;Masculino;3;7.86;Sim;1.59;11.98
19;Feminino;3;7.33;Sim;4.26;26.43
23;Feminino;3;7.08;Não;5.55;31.93
29;Feminino;3;6.85;Sim;3.27;22.1
23;Feminino;3;8.03;Não;7.01;59.37
21;Feminino;3;6.82;Sim;5.21;26.29
26;Feminino;3;7.66;Não;3.15;19.66
27;Masculino;3;7.26;Não;3.31;22.08
25;Masculino;3;8.95;Não;4.09;23.65
28;Feminino;3;8.24;Não;2.93;18.92
25;Masculino;3;6.93;Não;3.18;20.95
18;Feminino;3;5.11;Sim;3.92;20.78
19;Feminino;3;7.57;Sim;4.88;31.0
26;Feminino;3;7.0;Sim;1.36;12.0
21;Feminino;3;7.62;Sim;3.88;23.84
21;Masculino;3;6.51;Não;2.58;18.6
21;Masculino;3;7.14;Sim;4.53;30.19
29;Masculino;3;9.6;Não;4.78;27.99
22;Feminino;3;6.0;Sim;3.89;23.81
26;Feminino;3;5.69;Não;4.57;24.29
20;Masculino;3;7.17;Sim;4.98;30.92
29;Feminino;3;6.08;Sim;3.47;22.16
27;Feminino;3;7.22;Não;3.83;23.61
21;Masculino;3;7.39;Não;0.14;7.19
27;Feminino;3;8.19;Não;5.2;31.68
20;Masculino;3;8.82;Não;3.36;23.4
27;Masculino;3;7.03;Não;5.41;32.58
18;Feminino;3;10.0;Não;6.27;38.0
